Date,Up
10/7/2016,-159.789
10/8/2016,-159.478
10/9/2016,-170.364
10/10/2016,-156.129
10/11/2016,-155.247
10/12/2016,-156.636
10/13/2016,-163.201
10/14/2016,-161.544
10/15/2016,-162.056
10/16/2016,-161.898
10/17/2016,-164.002
10/18/2016,-152.834
10/19/2016,-157.189
10/20/2016,-161.201
10/21/2016,-158.046
10/22/2016,-160.12
10/23/2016,-158.507
10/24/2016,-158.702
10/25/2016,-160.548
10/26/2016,-160.468
10/27/2016,-162.524
10/28/2016,-161.089
10/29/2016,-165.728
10/30/2016,-163.175
10/31/2016,-166.926
11/1/2016,-160.096
11/2/2016,-158.844
11/3/2016,-163.823
11/4/2016,-158.815
11/5/2016,-157.133
11/6/2016,-166.441
11/7/2016,-163.466
11/8/2016,-162.646
11/9/2016,-169.227
11/10/2016,-172.126
11/11/2016,-171.626
11/12/2016,-170.628
11/13/2016,-162.889
11/14/2016,-164.615
11/15/2016,-161.952
11/16/2016,-168.795
11/17/2016,-164.318
11/18/2016,-162.347
11/19/2016,-159.482
11/20/2016,-165.401
11/21/2016,-164.557
11/22/2016,-164.13
11/23/2016,-159.242
11/24/2016,-160.801
11/25/2016,-166.586
11/26/2016,-167.51
11/27/2016,-168.838
11/28/2016,-163.668
11/29/2016,-163.065
11/30/2016,-167.946
12/1/2016,-171.981
12/2/2016,-165.457
12/3/2016,-165.677
12/4/2016,-166.642
12/5/2016,-164.186
12/6/2016,-164.326
12/7/2016,-163.732
12/8/2016,-161.323
12/9/2016,-162.221
12/10/2016,-167.606
12/11/2016,-167.858
12/12/2016,-162.602
12/13/2016,-164.075
12/14/2016,-160.011
12/15/2016,-162.536
12/16/2016,-165.234
12/17/2016,-171.21
12/18/2016,-170.519
12/19/2016,-168.569
12/20/2016,-169.189
12/21/2016,-170.777
12/22/2016,-170.047
12/23/2016,-167.527
12/24/2016,-168.837
12/25/2016,-169.287
12/26/2016,-170.021
12/27/2016,-168.088
12/28/2016,-171.613
12/29/2016,-173.475
12/30/2016,-170.431
12/31/2016,-168.386
1/1/2017,-159.811
1/2/2017,-165.848
1/3/2017,-171.297
1/4/2017,-168.803
1/5/2017,-170.346
1/6/2017,-171.039
1/7/2017,-169.296
1/8/2017,-169.161
1/9/2017,-166.736
1/10/2017,-166.261
1/11/2017,-170.639
1/12/2017,-169.356
1/13/2017,-167.313
1/14/2017,-173.421
1/15/2017,-172.618
1/16/2017,-176.859
1/17/2017,-173.076
1/18/2017,-173.647
1/19/2017,-173.71
1/20/2017,-177.384
1/21/2017,-177.195
1/22/2017,-183.889
1/23/2017,-178.704
