id,lat,lon,value
311,27.63866857,85.39844066,3.57859
312,27.63666858,85.40444066,2.40449
313,27.63966857,85.41344065,0.746972
314,27.63666858,85.41444065,1.8925
315,27.63966857,85.42044065,0.712691
316,27.63966857,85.42944064,4.53951
317,27.63866857,85.43544063,1.90289
318,27.63866857,85.43944063,10.1441
319,27.63966857,85.46844061,4.433
320,27.63766858,85.4734406,0.610527
321,27.63766858,85.4774406,2.03881
322,27.63866857,85.4804406,2.16285
323,27.63866857,85.4854406,0.72878
324,27.64366857,85.26944076,2.36802
325,27.64266857,85.27144076,-1.97038
326,27.64466857,85.28144075,1.37492
327,27.64066857,85.28344075,-3.45818
328,27.64166857,85.29144074,-4.75532
329,27.64166857,85.29444074,-2.47051
330,27.64366857,85.30144074,-2.28852
331,27.64466857,85.30644073,-26.2661
332,27.64466857,85.30844073,-26.8318
